population,inflation,exports,imports,income,gni,fdi,industry,agri,iso_code
5123105,0.724911478131358,31.5353944113983,28.5696775195183,4,11520,2103003648.9836,20.1365271604119,4.41427267612461,188
26811790,2.42500656821829,21.5681182248983,20.6364028168269,5.6,2240,712915894.481616,20.8569015548279,21.0824365135197,384
4047680,0.154811374562028,41.4820145218589,48.5033854890341,5.6,14820,1178762632.51314,20.7103594744752,3.0835310006672,191
11300698,1.92096800566845,8.16845517549743,7.51453163424994,5.6,5775.0,470259041.875,23.0186675609211,2.7619420225054,192
154947,1.92096800566845,30.5289067989681,39.3637003432345,5.6,16690,158149266.877095,15.0311981273335,0.202090223951159,531
1237537,-0.638422797978907,81.388777485457,82.7669616349417,5.6,26600,-327244137.036479,12.9271994291638,1.87662449382612,196
10697858,3.16129528497808,69.9487715380852,63.1995482324718,5.6,21800,8515481807.56744,30.6869294118492,1.96061362053174,203
5831404,0.420711974110026,54.9296212640352,48.5826383015702,5.6,62710,1582721537.00509,19.999064804027,1.36132728782744,208
1090156,1.77740783806174,115.774818188231,107.3489620874,5.6,2830,158230011,14.929221716496,1.68116296427059,262
71995,-0.727116412668306,30.5289067989681,39.3637003432345,5.6,7140,21979985.2679822,12.2295024166654,15.1559447031688,212
10999664,3.78103179915516,18.2956971595932,25.9979593928743,6.2,7170,2460600000,30.2824717135657,6.04147752532252,214
17588595,-0.338872392562274,21.8579265957348,19.5173034802184,4.1,5560,1103737900.76401,30.7257403995145,9.84273075607443,218
107465134,5.04493288977533,13.1067463706234,20.6524338172502,5.6,2860,5851800000,32.0091448983775,11.5676091272417,818
6292731,-0.371590212323993,25.6291775197024,43.8219730310035,5.6,3740,373008737.677302,23.942007131045,5.45417460882253,222
1596049,4.76970498098298,43.4867314883318,45.9406385860181,5.6,5100,529894746.1379,45.4313776860657,2.91312442239414,226
3555868,1.92096800566845,30.5289067989681,39.3637003432345,5.6,5775.0,73828000,23.2514238269639,7.4728799267029,232
1329522,-0.444531097679859,69.2738629866934,69.1924757132555,5.6,23570,3536187225.24438,22.7794505745534,2.05033085403078,233
117190911,20.3563468559061,7.12720094276697,16.878912700715,5.6,880,2395799880.65984,23.1022948090627,35.5582693458206,231
920422,-2.5952432588737,27.5196049264609,44.2171594593268,5.6,4680,239380737.903611,16.8730487385064,14.5022929909741,242
5529543,0.290554555653313,35.9237616733111,35.7103548518545,5.6,50100,-2368877283.6843,24.0259112849359,2.45207798591011,246
301920,1.92096800566845,11.1903411799537,35.661894462872,5.6,5775.0,16703178.7266,23.2514238269639,7.4728799267029,258
2292573,1.17681176042119,47.5047621419628,22.5552344452796,5.6,6830,1716511505.5221,41.5890781935188,6.62814684727239,266
2573995,5.93127636562439,9.62179188685386,37.8785731385365,5.6,700,189576190.794227,16.8536853891411,21.2440052017636,270
3722716,5.2024648897533,37.2914948646426,56.5843034270251,7,4260,533969244.77,21.1775597588703,7.28866812979586,268
83160871,0.506689889953274,43.0131290321633,37.3851760276969,5.6,48050,142778529123.296,26.6211021809287,0.752445359323199,276
32180401,9.88728956269943,20.7210460973151,17.7958155639978,5.6,2230,1875782953.46905,29.8767542339128,18.8537826617709,288
32709,1.92096800566845,30.5289067989681,39.3637003432345,5.6,5775.0,470259041.875,23.2514238269639,7.4728799267029,292
10698599,-1.24798355581408,31.9884491678224,39.6823957653075,5.6,17960,3303648833.22836,14.9714383254413,4.23836165281583,300
56367,1.92096800566845,36.3627780317637,48.836192331392,5.6,5775.0,470259041.875,18.1488401677632,17.3219503468564,304
123663,-0.740732597045501,30.5289067989681,39.3637003432345,5.6,7880,148811370.074643,13.0941140557003,4.90306046386154,308
169231,1.92096800566845,6.3030920829086,57.4753652735304,5.6,5775.0,470259041.875,23.2514238269639,7.4728799267029,316
16858333,3.21444062197346,16.3279691327059,24.8306699906435,5.6,4490,1004371660,22.1643688014585,9.89588321197133,320
13205153,10.6018600008336,64.3152396862667,68.0672726673565,5.6,960,176350000,28.5336042668235,25.8219861815446,324
2015828,1.14000939393218,14.3870438781701,29.248796493144,5.6,740,20989721.6146962,13.4801601747361,30.8632447518505,624
797202,0.993337022838757,30.5289067989681,39.3637003432345,5.6,8190,1194482521.17088,38.7960801467797,16.8511786471615,328
11306801,22.7963113642528,7.65100685425779,29.7628848779504,5.6,1330,25000000,23.3275466831099,20.3625000491202,332
10121763,3.46841177951168,35.0945890759895,50.524829034906,5.6,2150,236016866.159636,25.950158911833,12.1171809163756,340
7481000,0.250962021080809,176.30044085528,174.38076202635,5.6,48550,117452284750.967,6.17077797726807,0.0989644609949965,344
9750149,3.3267438576673,78.7285909026743,76.7997865633128,5.6,16030,171368266857.206,24.3965520126129,3.39148020598227,348
366463,2.84792401518658,34.4512439839632,35.0085271398686,5.6,62280,-895135831.543734,20.1244564303771,4.580299060332,352
